step,T_source_out_C,T_return_C,COP,Q_out_kW,P_el_kW,Q_geo_kW,model,T_tank_C,HP_on,Q_space_req_kW,Q_dhw_req_kW,Q_space_served_kW,Q_dhw_served_kW,Q_unmet_kW,flow_kgps,dP_kPa,P_pump_kW
109,-7558724306384401887926179793603657728.0000,-7558724306384401887926179793603657728.0000,0.0000,0.0000,0.0000,62343669086586734403045242719304679424.0000,CP,30.0000,1,120.4000,0.3000,0.0000,0.0000,120.7000,10.4373,984.9483,14.7302
110,17943663700719094031627064759969382400.0000,17943663700719094031627064759969382400.0000,8.0000,99.6603,12.4575,-147811280062137376767323889871068594176.0000,FB,30.0000,1,120.0000,0.3000,99.1603,0.3000,20.8397,10.4160,981.3214,14.6460
111,-40750540629583169803995295652046176256.0000,-40750540629583169803995295652046176256.0000,0.0000,0.0000,0.0000,335196804416851259721041929485628211200.0000,CP,30.0000,1,120.4400,0.3000,0.0000,0.0000,120.7400,10.4395,985.3113,14.7387
112,89368681545464514240317311187882606592.0000,89368681545464514240317311187882606592.0000,8.0000,100.4972,12.5621,-733901651906128937246014137593495552000.0000,FB,30.0000,1,121.6400,0.3000,99.9972,0.3000,21.6428,10.5035,996.2302,14.9934
113,-190590540667934260277279874022958432256.0000,-190590540667934260277279874022958432256.0000,0.0000,0.0000,0.0000,1562240403685389233904938643937382367232.0000,CP,30.0000,1,123.5600,0.3000,0.0000,0.0000,123.8600,10.6059,1013.8135,15.4068
114,397736062229131194014147975408988979200.0000,397736062229131194014147975408988979200.0000,8.0000,102.7425,12.8428,-3253758464643088155099636582659764781056.0000,FB,30.0000,1,126.0400,0.3000,102.2425,0.3000,23.7975,10.7381,1036.7313,15.9515
115,-808267201762399979624425933087312969728.0000,-808267201762399979624425933087312969728.0000,0.0000,0.0000,0.0000,6587681648506662212645419177134344110080.0000,CP,30.0000,1,128.9600,3.3000,0.0000,0.0000,132.2600,11.0539,1092.3744,17.3019
116,1644942754008810573347838451651304226816.0000,1644942754008810573347838451651304226816.0000,8.0000,107.3555,13.4194,-13393272455262473771746128689181969350656.0000,FB,30.0000,1,132.0800,3.3000,103.8555,3.3000,28.2245,11.2203,1122.2292,18.0423
117,-3363396518967554263040178246991992586240.0000,-3363396518967554263040178246991992586240.0000,0.0000,0.0000,0.0000,27374723399306651505794114758404500094976.0000,CP,30.0000,1,135.1600,0.3000,0.0000,0.0000,135.4600,11.2245,1122.9995,18.0615
118,6779503937621997480515593833756651159552.0000,6779503937621997480515593833756651159552.0000,8.0000,108.8864,13.6108,-55048594524368000739903469202698947002368.0000,FB,30.0000,1,138.0800,0.3000,108.3864,0.3000,29.6936,11.3803,1151.2793,18.7733
119,-13693927883140071594098598873077425111040.0000,-13693927883140071594098598873077425111040.0000,0.0000,0.0000,0.0000,111084210836523577956094580904060568731648.0000,CP,30.0000,1,140.5600,0.3000,0.0000,0.0000,140.8600,11.5125,1175.5479,19.3918
120,27842171017370654836976985781932929318912.0000,27842171017370654836976985781932929318912.0000,8.0000,111.1317,13.8915,-225671732448765439052211025297853191815168.0000,FB,30.0000,1,142.4800,0.3000,110.6317,0.3000,31.8483,11.6149,1194.4939,19.8796
121,-57106578354419614652178772459567278194688.0000,-57106578354419614652178772459567278194688.0000,0.0000,0.0000,0.0000,462780137142563705034440959291513896960000.0000,CP,30.0000,1,143.6800,0.3000,0.0000,0.0000,143.9800,11.6789,1206.4048,20.1885
122,118311024233940407389830178661675541987328.0000,118311024233940407389830178661675541987328.0000,8.0000,111.9686,13.9961,-959024186961884464162254682661368604131328.0000,FB,30.0000,1,144.1200,0.3000,111.4686,0.3000,32.6514,11.7024,1210.7856,20.3025
123,-247599876628736361061569808690299141095424.0000,-247599876628736361061569808690299141095424.0000,0.0000,0.0000,0.0000,2008637686983220958651512611313984445874176.0000,CP,30.0000,1,143.7200,0.3000,0.0000,0.0000,144.0200,11.6811,1206.8028,20.1988
